county,precinct,office,district,party,candidate,votes,election_day,absentee,provisional
Perry,0001 BLAIN BOROUGH,,,,Registered Voters,147,,,
Perry,0001 BLAIN BOROUGH,,,,Ballots Cast,90,89,1,0
Perry,0001 BLAIN BOROUGH,STRAIGHT PARTY,,DEM,DEMOCRATIC,9,9,0,0
Perry,0001 BLAIN BOROUGH,STRAIGHT PARTY,,REP,REPUBLICAN,42,42,0,0
Perry,0001 BLAIN BOROUGH,STRAIGHT PARTY,,GRN,GREEN,0,0,0,0
Perry,0001 BLAIN BOROUGH,STRAIGHT PARTY,,LIB,LIBERTARIAN,0,0,0,0
Perry,0001 BLAIN BOROUGH,STRAIGHT PARTY,,,Over Votes,0,0,0,0
Perry,0001 BLAIN BOROUGH,STRAIGHT PARTY,,,Under Votes,39,38,1,0
Perry,0001 BLAIN BOROUGH,U.S. Senate,,DEM,BOB CASEY JR,20,20,0,0
Perry,0001 BLAIN BOROUGH,U.S. Senate,,REP,LOU BARLETTA,67,66,1,0
Perry,0001 BLAIN BOROUGH,U.S. Senate,,GRN,NEAL GALE,0,0,0,0
Perry,0001 BLAIN BOROUGH,U.S. Senate,,LIB,DALE R. KERNS JR,2,2,0,0
Perry,0001 BLAIN BOROUGH,U.S. Senate,,,Write-ins,0,0,0,0
Perry,0001 BLAIN BOROUGH,U.S. Senate,,,Over Votes,0,0,0,0
Perry,0001 BLAIN BOROUGH,U.S. Senate,,,Under Votes,1,1,0,0
Perry,0001 BLAIN BOROUGH,GOVERNOR / LIEUTENANT GOVERNOR,,DEM,WOLF / FETTERMAN,22,22,0,0
Perry,0001 BLAIN BOROUGH,GOVERNOR / LIEUTENANT GOVERNOR,,REP,WAGNER / BARTOS,65,64,1,0
Perry,0001 BLAIN BOROUGH,GOVERNOR / LIEUTENANT GOVERNOR,,GRN,GLOVER / BOWSER-BOSTICK,0,0,0,0
Perry,0001 BLAIN BOROUGH,GOVERNOR / LIEUTENANT GOVERNOR,,LIB,KRAWCHUK / SMITH,3,3,0,0
Perry,0001 BLAIN BOROUGH,GOVERNOR / LIEUTENANT GOVERNOR,,,Write-ins,0,0,0,0
Perry,0001 BLAIN BOROUGH,GOVERNOR / LIEUTENANT GOVERNOR,,,Over Votes,0,0,0,0
Perry,0001 BLAIN BOROUGH,GOVERNOR / LIEUTENANT GOVERNOR,,,Under Votes,0,0,0,0
Perry,0001 BLAIN BOROUGH,REPRESENTATIVE IN CONGRESS DISTRICT 12,,DEM,MARC FRIEDENBERG,20,20,0,0
Perry,0001 BLAIN BOROUGH,REPRESENTATIVE IN CONGRESS DISTRICT 12,,REP,TOM MARINO,70,69,1,0
Perry,0001 BLAIN BOROUGH,REPRESENTATIVE IN CONGRESS DISTRICT 12,,,Write-ins,0,0,0,0
Perry,0001 BLAIN BOROUGH,REPRESENTATIVE IN CONGRESS DISTRICT 12,,,Over Votes,0,0,0,0
Perry,0001 BLAIN BOROUGH,REPRESENTATIVE IN CONGRESS DISTRICT 12,,,Under Votes,0,0,0,0
Perry,0001 BLAIN BOROUGH,REPRESENTATIVE IN THE GENERAL ASSEMBLY DISTRICT 86,,DEM,KAREN ANN ANDERSON,14,14,0,0
Perry,0001 BLAIN BOROUGH,REPRESENTATIVE IN THE GENERAL ASSEMBLY DISTRICT 86,,REP,MARK K KELLER,75,74,1,0
Perry,0001 BLAIN BOROUGH,REPRESENTATIVE IN THE GENERAL ASSEMBLY DISTRICT 86,,,Write-ins,1,1,0,0
Perry,0001 BLAIN BOROUGH,REPRESENTATIVE IN THE GENERAL ASSEMBLY DISTRICT 86,,,Over Votes,0,0,0,0
Perry,0001 BLAIN BOROUGH,REPRESENTATIVE IN THE GENERAL ASSEMBLY DISTRICT 86,,,Under Votes,0,0,0,0
