county,precinct,office,district,party,candidate,election_day,mail_in,absentee,votes
Mifflin,ARMAGH - EAST,Registered Voters,,,,,,,690
Mifflin,ARMAGH - EAST,Registered Voters,,DEM,,,,,133
Mifflin,ARMAGH - EAST,Registered Voters,,REP,,,,,503
Mifflin,ARMAGH - EAST,Registered Voters,,NPA,,,,,54
Mifflin,ARMAGH - EAST,Ballots Cast,,,,201,3,65,269
Mifflin,ARMAGH - EAST,Ballots Cast,,DEM,,24,0,19,43
Mifflin,ARMAGH - EAST,Ballots Cast,,REP,,177,3,46,226
Mifflin,ARMAGH - EAST,Ballots Cast,,NPA,,0,0,0,0
Mifflin,ARMAGH - EAST,President,,DEM,Bernie Sanders,2,0,2,4
Mifflin,ARMAGH - EAST,President,,DEM,Joseph R Biden,10,0,15,25
Mifflin,ARMAGH - EAST,President,,DEM,Tulsi Gabbard,6,0,0,6
Mifflin,ARMAGH - EAST,President,,DEM,Write-In,5,0,2,7
Mifflin,ARMAGH - EAST,Attorney General,,DEM,Josh Shapiro,19,0,17,36
Mifflin,ARMAGH - EAST,Attorney General,,DEM,Write-In,2,0,0,2
Mifflin,ARMAGH - EAST,Auditor General,,DEM,H Scott Conklin,15,0,13,28
Mifflin,ARMAGH - EAST,Auditor General,,DEM,Michael Lamb,0,0,0,0
Mifflin,ARMAGH - EAST,Auditor General,,DEM,Tracie Fountain,0,0,0,0
Mifflin,ARMAGH - EAST,Auditor General,,DEM,Rose Rosie Marie Davis,1,0,2,3
Mifflin,ARMAGH - EAST,Auditor General,,DEM,Nina Ahmad,2,0,1,3
Mifflin,ARMAGH - EAST,Auditor General,,DEM,Christina M Hartman,1,0,0,1
Mifflin,ARMAGH - EAST,Auditor General,,DEM,Write-In,3,0,0,3
Mifflin,ARMAGH - EAST,State Treasurer,,DEM,Joe Torsella,17,0,15,32
Mifflin,ARMAGH - EAST,State Treasurer,,DEM,Write-In,3,0,0,3
Mifflin,ARMAGH - EAST,U.S. House,12,DEM,Lee Griffin,16,0,17,33
Mifflin,ARMAGH - EAST,U.S. House,12,DEM,Write-In,2,0,0,2
Mifflin,ARMAGH - EAST,General Assembly,171,DEM,Peter Buck,17,0,17,34
Mifflin,ARMAGH - EAST,General Assembly,171,DEM,Write-In,4,0,0,4
Mifflin,ARMAGH - EAST,President,,REP,Donald J Trump,175,3,38,216
Mifflin,ARMAGH - EAST,President,,REP,Roque Rocky De La Fuente,0,0,1,1
Mifflin,ARMAGH - EAST,President,,REP,Bill Weld,2,0,3,5
Mifflin,ARMAGH - EAST,President,,REP,Write-In,0,0,3,3
Mifflin,ARMAGH - EAST,Attorney General,,REP,Heather Heidelbaugh,156,3,41,200
Mifflin,ARMAGH - EAST,Attorney General,,REP,Write-In,1,0,0,1
Mifflin,ARMAGH - EAST,Auditor General,,REP,Timothy Defoor,156,3,40,199
Mifflin,ARMAGH - EAST,Auditor General,,REP,Write-In,1,0,0,1
Mifflin,ARMAGH - EAST,State Treasurer,,REP,Stacy L Garrity,151,3,41,195
Mifflin,ARMAGH - EAST,State Treasurer,,REP,Write-In,1,0,0,1
Mifflin,ARMAGH - EAST,U.S. House,12,REP,Fred Keller,161,3,43,207
Mifflin,ARMAGH - EAST,U.S. House,12,REP,Write-In,0,0,0,0
Mifflin,ARMAGH - EAST,General Assembly,171,REP,Kerry A Benninghoff,169,3,42,214
Mifflin,ARMAGH - EAST,General Assembly,171,REP,Write-In,0,0,0,0
Mifflin,ARMAGH - WEST,Registered Voters,,,,,,,1542
Mifflin,ARMAGH - WEST,Registered Voters,,DEM,,,,,372
Mifflin,ARMAGH - WEST,Registered Voters,,REP,,,,,988
Mifflin,ARMAGH - WEST,Registered Voters,,NPA,,,,,182
Mifflin,ARMAGH - WEST,Ballots Cast,,,,343,5,127,475
Mifflin,ARMAGH - WEST,Ballots Cast,,DEM,,52,1,60,113
Mifflin,ARMAGH - WEST,Ballots Cast,,REP,,291,4,67,362
Mifflin,ARMAGH - WEST,Ballots Cast,,NPA,,0,0,0,0
Mifflin,ARMAGH - WEST,President,,DEM,Bernie Sanders,12,1,10,23
Mifflin,ARMAGH - WEST,President,,DEM,Joseph R Biden,25,0,47,72
