county,precinct,office,district,party,candidate,votes,election_day,mail,provisional
Erie,ERIE WARD 01 DISTRICT 01,Justice of the Supreme Court,,DEM,Daniel McCaffery,43,29,14,0
Erie,ERIE WARD 01 DISTRICT 01,Justice of the Supreme Court,,DEM,Debbie Kunselman,37,23,14,0
Erie,ERIE WARD 01 DISTRICT 01,Justice of the Supreme Court,,DEM,Write-ins,0,0,0,0
Erie,ERIE WARD 01 DISTRICT 03,Justice of the Supreme Court,,DEM,Daniel McCaffery,48,27,21,0
Erie,ERIE WARD 01 DISTRICT 03,Justice of the Supreme Court,,DEM,Debbie Kunselman,52,37,15,0
Erie,ERIE WARD 01 DISTRICT 03,Justice of the Supreme Court,,DEM,Write-ins,1,1,0,0
Erie,ERIE WARD 01 DISTRICT 05,Justice of the Supreme Court,,DEM,Daniel McCaffery,48,29,19,0
Erie,ERIE WARD 01 DISTRICT 05,Justice of the Supreme Court,,DEM,Debbie Kunselman,49,30,19,0
Erie,ERIE WARD 01 DISTRICT 05,Justice of the Supreme Court,,DEM,Write-ins,0,0,0,0
Erie,ERIE WARD 01 DISTRICT 07,Justice of the Supreme Court,,DEM,Daniel McCaffery,39,22,17,0
Erie,ERIE WARD 01 DISTRICT 07,Justice of the Supreme Court,,DEM,Debbie Kunselman,39,16,23,0
Erie,ERIE WARD 01 DISTRICT 07,Justice of the Supreme Court,,DEM,Write-ins,0,0,0,0
Erie,ERIE WARD 01 DISTRICT 08,Justice of the Supreme Court,,DEM,Daniel McCaffery,65,26,39,0
Erie,ERIE WARD 01 DISTRICT 08,Justice of the Supreme Court,,DEM,Debbie Kunselman,80,43,37,0
Erie,ERIE WARD 01 DISTRICT 08,Justice of the Supreme Court,,DEM,Write-ins,0,0,0,0
Erie,ERIE WARD 02 DISTRICT 01,Justice of the Supreme Court,,DEM,Daniel McCaffery,33,20,13,0
Erie,ERIE WARD 02 DISTRICT 01,Justice of the Supreme Court,,DEM,Debbie Kunselman,43,30,13,0
Erie,ERIE WARD 02 DISTRICT 01,Justice of the Supreme Court,,DEM,Write-ins,0,0,0,0
Erie,ERIE WARD 02 DISTRICT 04,Justice of the Supreme Court,,DEM,Daniel McCaffery,38,20,18,0
Erie,ERIE WARD 02 DISTRICT 04,Justice of the Supreme Court,,DEM,Debbie Kunselman,36,20,16,0
Erie,ERIE WARD 02 DISTRICT 04,Justice of the Supreme Court,,DEM,Write-ins,0,0,0,0
Erie,ERIE WARD 02 DISTRICT 05,Justice of the Supreme Court,,DEM,Daniel McCaffery,10,6,4,0
Erie,ERIE WARD 02 DISTRICT 05,Justice of the Supreme Court,,DEM,Debbie Kunselman,11,5,6,0
Erie,ERIE WARD 02 DISTRICT 05,Justice of the Supreme Court,,DEM,Write-ins,0,0,0,0
Erie,ERIE WARD 02 DISTRICT 06,Justice of the Supreme Court,,DEM,Daniel McCaffery,32,15,15,2
Erie,ERIE WARD 02 DISTRICT 06,Justice of the Supreme Court,,DEM,Debbie Kunselman,19,10,9,0
Erie,ERIE WARD 02 DISTRICT 06,Justice of the Supreme Court,,DEM,Write-ins,0,0,0,0
Erie,ERIE WARD 02 DISTRICT 07,Justice of the Supreme Court,,DEM,Daniel McCaffery,44,30,14,0
Erie,ERIE WARD 02 DISTRICT 07,Justice of the Supreme Court,,DEM,Debbie Kunselman,32,24,8,0
Erie,ERIE WARD 02 DISTRICT 07,Justice of the Supreme Court,,DEM,Write-ins,0,0,0,0
Erie,ERIE WARD 02 DISTRICT 08,Justice of the Supreme Court,,DEM,Daniel McCaffery,27,15,12,0
Erie,ERIE WARD 02 DISTRICT 08,Justice of the Supreme Court,,DEM,Debbie Kunselman,27,14,13,0
Erie,ERIE WARD 02 DISTRICT 08,Justice of the Supreme Court,,DEM,Write-ins,0,0,0,0
Erie,ERIE WARD 03 DISTRICT 01,Justice of the Supreme Court,,DEM,Daniel McCaffery,27,16,10,1
Erie,ERIE WARD 03 DISTRICT 01,Justice of the Supreme Court,,DEM,Debbie Kunselman,17,11,6,0
Erie,ERIE WARD 03 DISTRICT 01,Justice of the Supreme Court,,DEM,Write-ins,1,1,0,0
