county,precinct,office,district,party,candidate,votes
Lehigh,Allentown 10th Ward 1st Dist- 0017,Allentown Ordinance No. 16037,,,Yes,312
Lehigh,Allentown 10th Ward 1st Dist- 0017,Allentown Ordinance No. 16037,,,No,167
Lehigh,Allentown 10th Ward 3rd Dist- 0018,Allentown Ordinance No. 16037,,,Yes,310
Lehigh,Allentown 10th Ward 3rd Dist- 0018,Allentown Ordinance No. 16037,,,No,124
Lehigh,Allentown 10th Ward 4th Dist- 0019,Allentown Ordinance No. 16037,,,Yes,310
Lehigh,Allentown 10th Ward 4th Dist- 0019,Allentown Ordinance No. 16037,,,No,138
Lehigh,Allentown 11th Ward 1st Dist- 0020,Allentown Ordinance No. 16037,,,Yes,261
Lehigh,Allentown 11th Ward 1st Dist- 0020,Allentown Ordinance No. 16037,,,No,147
Lehigh,Allentown 11th Ward 2nd Dist- 0021,Allentown Ordinance No. 16037,,,Yes,296
Lehigh,Allentown 11th Ward 2nd Dist- 0021,Allentown Ordinance No. 16037,,,No,161
Lehigh,Allentown 11th Ward 3rd Dist- 0022,Allentown Ordinance No. 16037,,,Yes,268
Lehigh,Allentown 11th Ward 3rd Dist- 0022,Allentown Ordinance No. 16037,,,No,252
Lehigh,Allentown 11th Ward 4th Dist- 0023,Allentown Ordinance No. 16037,,,Yes,616
Lehigh,Allentown 11th Ward 4th Dist- 0023,Allentown Ordinance No. 16037,,,No,529
Lehigh,Allentown 11th Ward 5th Dist- 0024,Allentown Ordinance No. 16037,,,Yes,246
Lehigh,Allentown 11th Ward 5th Dist- 0024,Allentown Ordinance No. 16037,,,No,286
Lehigh,Allentown 11th Ward 6th Dist- 0025,Allentown Ordinance No. 16037,,,Yes,511
Lehigh,Allentown 11th Ward 6th Dist- 0025,Allentown Ordinance No. 16037,,,No,444
Lehigh,Allentown 11th Ward 7th Dist- 0026,Allentown Ordinance No. 16037,,,Yes,319
Lehigh,Allentown 11th Ward 7th Dist- 0026,Allentown Ordinance No. 16037,,,No,318
Lehigh,Allentown 12th Ward 1st Dist- 0027,Allentown Ordinance No. 16037,,,Yes,336
Lehigh,Allentown 12th Ward 1st Dist- 0027,Allentown Ordinance No. 16037,,,No,245
