county,precinct,office,district,party,candidate,votes,election_day,mail,provisional
Montour,ANTHONY TOWNSHIP,Registered Voters,,,,888,,,
Montour,ANTHONY TOWNSHIP,Ballots Cast,,,,750,630,115,5
Montour,ANTHONY TOWNSHIP,President,,DEM,HARRIS and WALZ,157,118,39,0
Montour,ANTHONY TOWNSHIP,President,,REP,TRUMP and VANCE,581,501,75,5
Montour,ANTHONY TOWNSHIP,President,,LIB,OLIVER and TER MAAT,4,4,0,0
Montour,ANTHONY TOWNSHIP,President,,GRN,STEIN and WARE,5,5,0,0
Montour,ANTHONY TOWNSHIP,President,,,Write-ins,1,1,0,0
Montour,ANTHONY TOWNSHIP,President,,,Write-In: Scattered,1,1,0,0
Montour,ANTHONY TOWNSHIP,President,,,Not Assigned,0,0,0,0
Montour,ANTHONY TOWNSHIP,President,,,Over Votes,0,0,0,0
Montour,ANTHONY TOWNSHIP,President,,,Under Votes,2,1,1,0
Montour,ANTHONY TOWNSHIP,U.S. Senate,,DEM,ROBERT P CASEY JR,164,123,41,0
Montour,ANTHONY TOWNSHIP,U.S. Senate,,REP,DAVE MCCORMICK,572,494,73,5
Montour,ANTHONY TOWNSHIP,U.S. Senate,,LIB,JOHN C THOMAS,5,5,0,0
Montour,ANTHONY TOWNSHIP,U.S. Senate,,GRN,LEILA HAZOU,3,3,0,0
Montour,ANTHONY TOWNSHIP,U.S. Senate,,CST,MARTY SELKER,5,4,1,0
Montour,ANTHONY TOWNSHIP,U.S. Senate,,,Write-ins,0,0,0,0
Montour,ANTHONY TOWNSHIP,U.S. Senate,,,Not Assigned,0,0,0,0
Montour,ANTHONY TOWNSHIP,U.S. Senate,,,Over Votes,0,0,0,0
Montour,ANTHONY TOWNSHIP,U.S. Senate,,,Under Votes,1,1,0,0
Montour,ANTHONY TOWNSHIP,Attorney General,,DEM,EUGENE DEPASQUALE,139,106,33,0
Montour,ANTHONY TOWNSHIP,Attorney General,,REP,DAVE SUNDAY,579,495,80,4
Montour,ANTHONY TOWNSHIP,Attorney General,,LIB,ROBERT COWBURN,13,13,0,0
Montour,ANTHONY TOWNSHIP,Attorney General,,GRN,RICHARD L WEISS,3,3,0,0
